N,R,P,CI
100,100,20,90
100,100,20,95
100,100,20,99
100,93,50,90
100,93,50,95
100,93,50,99
100,90,50,90
100,90,50,95
100,90,50,99
100,92,50,90
100,92,50,95
100,92,50,99
100,91,50,90
100,91,50,95
100,91,50,99
100,94,50,90
100,94,50,95
100,94,50,99
100,78,80,90
100,78,80,95
100,78,80,99
100,79,80,90
100,79,80,95
100,79,80,99
100,81,80,90
100,81,80,95
100,81,80,99
100,80,80,90
100,80,80,95
100,80,80,99
100,83,80,90
100,83,80,95
100,83,80,99
100,82,80,90
100,82,80,95
100,82,80,99
100,84,80,90
100,84,80,95
100,84,80,99
100,95,50,90
100,95,50,95
100,95,50,99
100,96,50,90
100,96,50,95
100,96,50,99
100,97,50,90
100,97,50,95
100,97,50,99
100,88,80,90
100,88,80,95
100,88,80,99
100,86,80,90
100,86,80,95
100,86,80,99
100,85,80,90
100,85,80,95
100,85,80,99
100,87,80,90
100,87,80,95
100,87,80,99
100,90,80,90
100,90,80,95
100,90,80,99
100,89,80,90
100,89,80,95
100,89,80,99
100,98,50,90
100,98,50,95
100,98,50,99
100,99,50,90
100,99,50,95
100,99,50,99
100,91,80,90
100,91,80,95
100,91,80,99
100,93,80,90
100,93,80,95
100,93,80,99
100,92,80,90
100,92,80,95
100,92,80,99
100,94,80,90
100,94,80,95
100,94,80,99
100,95,80,90
100,95,80,95
100,95,80,99
100,96,80,90
100,96,80,95
100,96,80,99
100,97,80,90
100,97,80,95
100,97,80,99
100,100,50,90
100,100,50,95
100,100,50,99
100,100,80,90
100,100,80,95
100,100,80,99
500,403,20,90
500,403,20,95
500,403,20,99
500,412,20,90
500,412,20,95
500,412,20,99
500,410,20,90
500,410,20,95
500,410,20,99
500,402,20,90
500,402,20,95
500,402,20,99
500,397,20,90
500,397,20,95
500,397,20,99
500,389,20,90
500,389,20,95
500,389,20,99
500,404,20,90
500,404,20,95
500,404,20,99
500,377,20,90
500,377,20,95
500,377,20,99
500,413,20,90
500,413,20,95
500,413,20,99
500,407,20,90
500,407,20,95
500,407,20,99
500,396,20,90
500,396,20,95
500,396,20,99
500,398,20,90
500,398,20,95
500,398,20,99
500,406,20,90
500,406,20,95
500,406,20,99
500,394,20,90
500,394,20,95
500,394,20,99
500,400,20,90
500,400,20,95
500,400,20,99
500,395,20,90
500,395,20,95
500,395,20,99
500,392,20,90
500,392,20,95
500,392,20,99
500,417,20,90
500,417,20,95
500,417,20,99
500,399,20,90
500,399,20,95
500,399,20,99
500,391,20,90
500,391,20,95
500,391,20,99
500,411,20,90
500,411,20,95
500,411,20,99
500,386,20,90
500,386,20,95
500,386,20,99
500,409,20,90
500,409,20,95
500,409,20,99
500,388,20,90
500,388,20,95
500,388,20,99
500,393,20,90
500,393,20,95
500,393,20,99
500,401,20,90
500,401,20,95
500,401,20,99
500,422,20,90
500,422,20,95
500,422,20,99
500,390,20,90
500,390,20,95
500,390,20,99
500,408,20,90
500,408,20,95
500,408,20,99
500,415,20,90
500,415,20,95
500,415,20,99
500,416,20,90
500,416,20,95
500,416,20,99
500,405,20,90
500,405,20,95
500,405,20,99
500,381,20,90
500,381,20,95
500,381,20,99
500,414,20,90
500,414,20,95
500,414,20,99
500,384,20,90
500,384,20,95
500,384,20,99
500,374,20,90
500,374,20,95
500,374,20,99
500,429,20,90
500,429,20,95
500,429,20,99
500,385,20,90
500,385,20,95
500,385,20,99
500,382,20,90
500,382,20,95
500,382,20,99
500,418,20,90
500,418,20,95
500,418,20,99
500,387,20,90
500,387,20,95
500,387,20,99
500,419,20,90
500,419,20,95
500,419,20,99
500,421,20,90
500,421,20,95
500,421,20,99
500,375,20,90
500,375,20,95
500,375,20,99
500,380,20,90
500,380,20,95
500,380,20,99
500,379,20,90
500,379,20,95
500,379,20,99
500,383,20,90
500,383,20,95
500,383,20,99
500,378,20,90
500,378,20,95
500,378,20,99
500,420,20,90
500,420,20,95
500,420,20,99
500,423,20,90
500,423,20,95
500,423,20,99
500,425,20,90
500,425,20,95
500,425,20,99
500,376,20,90
500,376,20,95
500,376,20,99
500,428,20,90
500,428,20,95
500,428,20,99
500,426,20,90
500,426,20,95
500,426,20,99
500,250,50,90
500,250,50,95
500,250,50,99
500,248,50,90
500,248,50,95
500,248,50,99
500,254,50,90
500,254,50,95
500,254,50,99
500,246,50,90
500,246,50,95
500,246,50,99
500,237,50,90
500,237,50,95
500,237,50,99
500,262,50,90
500,262,50,95
500,262,50,99
500,251,50,90
500,251,50,95
500,251,50,99
500,243,50,90
500,243,50,95
500,243,50,99
500,258,50,90
500,258,50,95
500,258,50,99
500,263,50,90
500,263,50,95
500,263,50,99
500,249,50,90
500,249,50,95
500,249,50,99
500,256,50,90
500,256,50,95
500,256,50,99
500,260,50,90
500,260,50,95
500,260,50,99
500,266,50,90
500,266,50,95
500,266,50,99
500,247,50,90
500,247,50,95
500,247,50,99
500,244,50,90
500,244,50,95
500,244,50,99
500,276,50,90
500,276,50,95
500,276,50,99
500,240,50,90
500,240,50,95
500,240,50,99
500,241,50,90
500,241,50,95
500,241,50,99
500,265,50,90
500,265,50,95
500,265,50,99
500,269,50,90
500,269,50,95
500,269,50,99
500,245,50,90
500,245,50,95
500,245,50,99
500,261,50,90
500,261,50,95
500,261,50,99
500,257,50,90
500,257,50,95
500,257,50,99
500,264,50,90
500,264,50,95
500,264,50,99
500,239,50,90
500,239,50,95
500,239,50,99
500,233,50,90
500,233,50,95
500,233,50,99
500,235,50,90
500,235,50,95
500,235,50,99
500,252,50,90
500,252,50,95
500,252,50,99
500,242,50,90
500,242,50,95
500,242,50,99
500,228,50,90
500,228,50,95
500,228,50,99
500,253,50,90
500,253,50,95
500,253,50,99
500,268,50,90
500,268,50,95
500,268,50,99
500,229,50,90
500,229,50,95
500,229,50,99
500,277,50,90
500,277,50,95
500,277,50,99
500,238,50,90
500,238,50,95
500,238,50,99
500,267,50,90
500,267,50,95
500,267,50,99
500,231,50,90
500,231,50,95
500,231,50,99
500,223,50,90
500,223,50,95
500,223,50,99
500,226,50,90
500,226,50,95
500,226,50,99
500,230,50,90
500,230,50,95
500,230,50,99
500,255,50,90
500,255,50,95
500,255,50,99
500,234,50,90
500,234,50,95
500,234,50,99
500,232,50,90
500,232,50,95
500,232,50,99
500,280,50,90
500,280,50,95
500,280,50,99
500,259,50,90
500,259,50,95
500,259,50,99
500,272,50,90
500,272,50,95
500,272,50,99
500,270,50,90
500,270,50,95
500,270,50,99
500,236,50,90
500,236,50,95
500,236,50,99
500,224,50,90
500,224,50,95
500,224,50,99
500,271,50,90
500,271,50,95
500,271,50,99
500,227,50,90
500,227,50,95
500,227,50,99
500,274,50,90
500,274,50,95
500,274,50,99
500,219,50,90
500,219,50,95
500,219,50,99
500,225,50,90
500,225,50,95
500,225,50,99
500,281,50,90
500,281,50,95
500,281,50,99
500,220,50,90
500,220,50,95
500,220,50,99
500,275,50,90
500,275,50,95
500,275,50,99
500,291,50,90
500,291,50,95
500,291,50,99
500,221,50,90
500,221,50,95
500,221,50,99
500,212,50,90
500,212,50,95
500,212,50,99
500,284,50,90
500,284,50,95
500,284,50,99
500,273,50,90
500,273,50,95
500,273,50,99
500,217,50,90
500,217,50,95
500,217,50,99
500,107,80,90
500,107,80,95
500,107,80,99
500,103,80,90
500,103,80,95
500,103,80,99
500,105,80,90
500,105,80,95
500,105,80,99
500,97,80,90
500,97,80,95
500,97,80,99
500,110,80,90
500,110,80,95
500,110,80,99
500,119,80,90
500,119,80,95
500,119,80,99
500,100,80,90
500,100,80,95
500,100,80,99
500,93,80,90
500,93,80,95
500,93,80,99
500,90,80,90
500,90,80,95
500,90,80,99
500,108,80,90
500,108,80,95
500,108,80,99
500,88,80,90
500,88,80,95
500,88,80,99
500,127,80,90
500,127,80,95
500,127,80,99
500,112,80,90
500,112,80,95
500,112,80,99
500,92,80,90
500,92,80,95
500,92,80,99
500,102,80,90
500,102,80,95
500,102,80,99
500,98,80,90
500,98,80,95
500,98,80,99
500,86,80,90
500,86,80,95
500,86,80,99
500,99,80,90
500,99,80,95
500,99,80,99
500,89,80,90
500,89,80,95
500,89,80,99
500,101,80,90
500,101,80,95
500,101,80,99
500,87,80,90
500,87,80,95
500,87,80,99
500,95,80,90
500,95,80,95
500,95,80,99
500,94,80,90
500,94,80,95
500,94,80,99
500,96,80,90
500,96,80,95
500,96,80,99
500,85,80,90
500,85,80,95
500,85,80,99
500,114,80,90
500,114,80,95
500,114,80,99
500,113,80,90
500,113,80,95
500,113,80,99
500,109,80,90
500,109,80,95
500,109,80,99
500,111,80,90
500,111,80,95
500,111,80,99
500,76,80,90
500,76,80,95
500,76,80,99
500,104,80,90
500,104,80,95
500,104,80,99
500,91,80,90
500,91,80,95
500,91,80,99
500,121,80,90
500,121,80,95
500,121,80,99
500,80,80,90
500,80,80,95
500,80,80,99
500,116,80,90
500,116,80,95
500,116,80,99
500,115,80,90
500,115,80,95
500,115,80,99
500,84,80,90
500,84,80,95
500,84,80,99
500,83,80,90
500,83,80,95
